,AidData TUFF Project ID,city_temp_id,region_temp_id,country_id
2380,58716.0,51,,079
2381,34156.0,15,,120
2382,60769.0,16,,120
2383,67620.0,17,,120
2384,66395.0,86,,189
2385,86020.0,49,,239
2386,31309.0,706,,081
2387,57950.0,57,,107
2388,35693.0,44,,108
2389,68255.0,45,,108
2390,34393.0,71,,198
2391,38564.0,72,,198
2392,73319.0,84,,134
2393,31306.0,83,,135
2394,60923.0,84,,135
2395,35737.0,187,,200
2396,35739.0,188,,200
2397,39291.0,55,,222
2398,42128.0,56,,222
2399,64520.0,57,,222
2400,64653.0,58,,222
2401,64922.0,59,,222
2402,37481.0,134,,019
2403,44141.0,135,,019
2404,46985.0,136,,019
2405,49681.0,34,,007
2406,64039.0,35,,007
2407,68412.0,36,,007
2408,42983.0,223,,175
2409,32969.0,12,,124
2410,73582.0,13,,124
2411,2254.0,29,,084
2412,73310.0,30,,084
2413,31300.0,115,,111
2414,2409.0,60,,150
2415,65069.0,113,,151
2416,43943.0,54,,205
2417,72417.0,55,,205
2418,38205.0,24,,217
2419,38577.0,25,,217
2420,2189.0,30,,136
2421,25286.0,31,,136
2422,31311.0,32,,136
2423,35646.0,33,,136
2424,72407.0,34,,136
2425,39242.0,10,,009
2426,42210.0,11,,009
2427,64681.0,12,,009
2428,12970.0,100,,137
2429,43961.0,209,,152
2430,67280.0,210,,152
2431,44278.0,519,,191
2432,54995.0,66,,023
2433,34478.0,118,,232
2434,63656.0,119,,232
2435,73326.0,120,,232
2436,64968.0,6,,148
2437,65688.0,7,,148
2438,40997.0,50,,208
2439,64940.0,29,,208
2440,20007.0,45,,115
2441,66125.0,55,,164
2442,34751.0,144,,096
2443,34828.0,145,,096
2444,34832.0,146,,096
2445,34873.0,147,,096
2446,34874.0,148,,096
2447,34877.0,149,,096
2448,69022.0,345,,015
2449,69024.0,346,,015
2450,42173.0,141,,182
2451,43260.0,142,,182
2452,35918.0,3414,,021
2453,36701.0,3415,,021
2454,825.0,24,,098
2455,56260.0,35,,071
